I0313 04:46:56.177997       1 serving.go:374] Generated self-signed cert (/tmp/apiserver.crt, /tmp/apiserver.key)
I0313 04:46:56.671925       1 handler.go:275] Adding GroupVersion metrics.k8s.io v1beta1 to ResourceManager
E0313 04:46:56.791986       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.128:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.147.128 because it doesn't contain any IP SANs" node="master-vm"
E0313 04:46:56.798900       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.129:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.147.129 because it doesn't contain any IP SANs" node="worker1-vm"
I0313 04:46:56.811085       1 requestheader_controller.go:169] Starting RequestHeaderAuthRequestController
I0313 04:46:56.811218       1 shared_informer.go:311] Waiting for caches to sync for RequestHeaderAuthRequestController
I0313 04:46:56.811559       1 configmap_cafile_content.go:202] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::client-ca-file"
I0313 04:46:56.811712       1 shared_informer.go:311] Waiting for caches to sync for client-ca::kube-system::extension-apiserver-authentication::client-ca-file
I0313 04:46:56.811893       1 configmap_cafile_content.go:202] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file"
I0313 04:46:56.812047       1 shared_informer.go:311] Waiting for caches to sync for client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file
I0313 04:46:56.812180       1 secure_serving.go:213] Serving securely on [::]:10250
I0313 04:46:56.812423       1 dynamic_serving_content.go:132] "Starting controller" name="serving-cert::/tmp/apiserver.crt::/tmp/apiserver.key"
I0313 04:46:56.812728       1 tlsconfig.go:240] "Starting DynamicServingCertificateController"
I0313 04:46:56.912571       1 shared_informer.go:318] Caches are synced for RequestHeaderAuthRequestController
I0313 04:46:56.912835       1 shared_informer.go:318] Caches are synced for client-ca::kube-system::extension-apiserver-authentication::client-ca-file
I0313 04:46:56.913190       1 shared_informer.go:318] Caches are synced for client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file
E0313 04:46:59.856200       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.130:10250/metrics/resource\": dial tcp 192.168.147.130:10250: connect: no route to host" node="worker2-vm"
E0313 04:47:11.780939       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.129:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.147.129 because it doesn't contain any IP SANs" node="worker1-vm"
E0313 04:47:11.782231       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.128:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.147.128 because it doesn't contain any IP SANs" node="master-vm"
E0313 04:47:14.863828       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.130:10250/metrics/resource\": dial tcp 192.168.147.130:10250: connect: no route to host" node="worker2-vm"
I0313 04:47:24.163200       1 server.go:191] "Failed probe" probe="metric-storage-ready" err="no metrics to serve"
E0313 04:47:26.804003       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.128:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.147.128 because it doesn't contain any IP SANs" node="master-vm"
E0313 04:47:26.804428       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.129:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.147.129 because it doesn't contain any IP SANs" node="worker1-vm"
E0313 04:47:29.839600       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.130:10250/metrics/resource\": dial tcp 192.168.147.130:10250: connect: no route to host" node="worker2-vm"
I0313 04:47:34.162141       1 server.go:191] "Failed probe" probe="metric-storage-ready" err="no metrics to serve"
E0313 04:47:41.787844       1 scraper.go:149] "Failed to scrape node" err="Get \"https://192.168.147.129:10250/metrics/resource\": tls: failed to verify certificate: x509: cannot validate certificate for 192.168.147.129 because it doesn't contain any IP SANs" node="worker1-vm"
